Funder Name,Charity Number,Change Type,Date,Description,Additional Details
The Cadogan Charity,247773,Criteria Updated,07/11/2025,"You may be aware that the charity has recently been through a review of its aims and strategies and one of the outcomes of that review is the need for us to adhere to our original geographical criteria which means that the charity supports those charities within the area that they live and do business i.e. Chelsea and Perthshire in Scotland.
This  a recent email reply - previously they have supported a wider range of areas in London.",
Coreus Foundation,1209695,Deadline Changed,07/11/2025,Decisions postponed until Jan/Feb 2026 due to large number of applications received.,"From their email to applicants:

We received a record of 32 applications this year, and we are amazed by the interest.

To ensure all applications receive a thorough review, we have postponed our Trustee meeting until January. Consequently, you will receive an update regarding your application outcome and next steps by the end February."
The Beaverbrooks Charitable Trust,1142857,Not Open to Unsolicited Applications,06/11/2025,"Thankyou for your application to the Beaverbrooks Charitable Trust.
 
We are sure you will appreciate, we get many similar requests each year and are unable to respond positively to them all.
 
Our Trustees are currently focussing on the many charities that we already actively support and where we have a connection or existing relationship and are therefore not looking to expand our reach to any new organisations.
 
We thank you for your interest in Beaverbrooks",
Sylvia Waddilove Foundation Uk,1118097,Closed Early,05/11/2025,Autumn round closed. Open in January 2026,
Arts Council England,1036733,Paused,05/11/2025,"The Arts Council England (ACE) has paused it Developing Your Creative Practice scheme until April 2026.

","To ensure continued support for individual artists and creative practitioners, ACE has ringfenced £7.5 million for research and development through its National Lottery Project Grants (NLPG) scheme.

"
St John's Foundation (Uk) Trust,1105013,Restructuring,04/11/2025,"Going through a strategic review process, this will take around 12 months.
They hope to launch a new strategy in 2027.",
The Michael And Betty Little Trust,1107412,Other,04/11/2025,Their website no longer exists and has been taken off their charity commission contact page too.,
The National Lottery Community Fund,,Other,03/11/2025,The #iwill Fund 2025 - Strand 2 opened during the week commencing Monday 20th October 2025 wit the deadline of 19th November 2025,
Bbc Children In Need,802052,Reopened,01/11/2025,"Offer Core and Project funding with no application deadlines, so you can apply at any time. Available grants range from £1,000 to £40,000 per year and can be awarded for up to three years.",
Community Foundation in Wales ,1074655,One to Watch,31/10/2025,"""To allow for testing and launch of the new portal, most of our funding programmes will be temporarily closed from mid-January to early April 2026 (subject to change). """,Wales Community Foundation is moving its application process to a new portal which will enable applicants to manage all aspects of the process from application to reporting in one place. The proposed pause covers the migration process and will affect most of their funds.
Arnold Clark Community Fund,,Closed Early,30/10/2025,The Arnold Clark Community Fund was due to close on 31 October but has been 'paused' early.,
The Leeward Trust ,SC047870,Removed From Register,30/10/2025,"Charity wound up on 30 September 2025, per OSCR.",
Bbc Children In Need,802052,Extended Pause,29/10/2025,"When Children in Need announced their pause in March this year it was with the news that their new system would launch by the end of September. Website now states the launch will be by the end of October.

",
Will Charitable Trust ,801682,Extended Pause,29/10/2025,Due to re-open in July 2025 but the period of closure to new applications has been extended and the Trustees now expect to be able to reopen for applications with the revised programme in place during Spring 2026. The exact date for reopening will be announced on their website in due course.,
The Roger & Douglas Turner Charitable Trust,1154467,Criteria Updated,29/10/2025,"Now moved to a thematic approach with a new application form. 
If you wish to apply for a grant, from today onwards, then the 6 new themes are:
•	Adults in need.
•	Young people in need.
•	Hospices.
•	Mental health support.
•	Poverty.
•	Environment and heritage.
",
Dunard Fund ,SC046889,Criteria Updated,29/10/2025,"Until at least 2027, Dunard Fund's spending on classical music, visual arts and architecture will be restricted to three main projects in Edinburgh. ","Until 2027 at least, Dunard Fund's spending will be restricted to supporting the creation of the National Centre for Music in Edinburgh; the creation by IMPACT of a performance centre in Edinburgh; and redeveloping its own building as a hub for cultural charities."
The Albert Gubay Charitable Foundation,1193970,Paused,29/10/2025,"The Foundation are not currently accepting applications to the General Fund. To keep up to date, please check back in December.
",
Camden Giving,1174463,Paused,29/10/2025,"Have paused applications to the Growth Grants with immediate effect until the 1st of June 2026 at the latest due to the overwhelming number of applications.  If you have already started an application on the grants portal, they will get in touch with you to help finish that application and ensure it is reviewed.","The Seed Grants and our Equality Fund are open for applications from organisations and citizens that meet the criteria.
"
Wiltshire Community Foundation,1123126,Deadline Changed,24/10/2025,"The Community Grants programme has a set budget and has been heavily oversubscribed in 25/26, meaning that all funds will be spent at the December 2025 panel. The previously planned panel in March 2026 is now May.","The next decision point for Community Grants will be 6 May 2026, with applications closing on 2 March 2026. The Community Grants programme has a set budget and has been heavily oversubscribed in 25/26, meaning that all funds will be spent at the December 2025 panel. The previously planned panel in March 2026 is now May.  Further decision points for 26/27 are planned for September and December 2026 and March 2027 as funds allow. See more details in the table below.

We will be contacting prospective applicants already in the pipeline for March 2026 to let them know of this update and we will be publicising the new dates across our communications channels.

If you have any questions, please contact the Grants Team by emailing info@wscf.org.uk or calling 01380 729284"
Sir Halley Stewart Trust,208491,Closed Early,23/10/2025,Closed early before published deadline of 24th Oct ,
City Bridge Foundation,1035628,Reopened,23/10/2025,Access to Justice Programme Opens Soon,"Access to Justice is the first programme to launch as part of City Bridge Foundation’s ten-year funding policy, Standing with Londoners 2025–2035. The first round of funding in this programme is aimed at ​‘led by and for’ organisations delivering free social welfare advice, engaging in social action work, and supporting systems change. More rounds will open next year. 

On Monday 10 November 2025, full programme information – including eligibility guidance and application details – will be published on their website.

From now, organisations can book a place on the Access to Justice webinar, taking place live from 11.15am-12.00 noon on Tuesday 11 November 2025."
