registered_num,year_processed,objectives_activities,achievements_performance,grant_policy,error
272161,2024,"The trustees are directed by the trust deed to apply the capital and income of the trust for such charitable object or objects or for such charitable purpose or purposes as they might in their absolute discretion select. The Trust's main activities are to safeguard the investment portfolio, and generate income to allow for grant making.","The Trust generated £261,918 (2023: £259,731) during the financial year. The trustees met quarterly and made 235 grants totalling £244,140 (2023: £231,100). Grant categories necessarily overlap, but the grant total was divided as follows: Social Welfare £71,200 (29.2%), Youth £43,200 (17.7%), Women £7,500 (3.1%), Disabled/Elderly £66,240 (27.1%), CAME £3,500 (1.4%), Arts £19,500 (8.0%), Education £12,000 (4.9%), Environment £1,000(0.4%), Individuals (through Greg's Foundation) £20,000 (8.2%).","The published policy of the trustees is to help social welfare and other charitable organizations and individuals in need within the Beneficial Area. Although the founder, Kathleen Armstrong, would not give any instructions as to aims and objectives, the trustees have always tried to follow her philanthropic example, her love of the countryside and music. The main headings under which applications are considered are: Social Welfare, Youth, Women, the Disabled, the Elderly, BAME, Education, the Environment and the Arts.",
211715,2024,"The object of the Trust is to relieve persons of the following classes who are in need of assistance: Persons who served in any of the Armed Forces of the Crown and who were disabled in such service and the widows and other dependants of such persons. Persons who served in the mercantile marine or in any service established under the Civil Defense Acts 1937 and 1939 and who were disabled in such service and the widows and other dependants of such persons. The Trustees meet the object of the Trust by making grants to any charitable institutions or organizations whose objects include the reception, accommodation, treatment or after-care of persons who come within the Trust's object as set out above. The Trustees may also make grants in aid of medical or surgical research having particular regard to the needs of disabled persons who served in the Armed Forces of the Crown.","During the year the Grants Sub-Committee reviewed the Grants Policy, making recommendations for minor changes which were endorsed by the full Board of Trustees ensuring the needs of beneficiaries and potential beneficiaries could be matched with available funds. The Trustees agreed to continue to review the Grants Policy on a regular basis. In parallel, the Grants Sub-Committee reviewed and made some changes to the application form in order to give greater visibility to the number of eligible beneficiaries who will benefit if the application is successful.","The Trustees consider applications for grants from charitable institutions or organizations whose objects come within the Trust's object as set out above. There is no minimum or maximum grant and the amount awarded is reviewed on a case-by-case basis. Terms and conditions for grants are discussed and drafted by the Trustees based on the applications, also on a case-by-case basis, but mindful of available funds. In some circumstances, the Trustees may decide to award grants without any accompanying conditions.",
1007307,2024,"The objective of the charity is to provide financial assistance to charitable institutions or for charitable purposes, in particular, but not exclusively, the promotion or development for the benefit of the public of the science of engineering and the advancement of education in engineering.",,,
235891,2024,"The charity is controlled by its governing document, a deed of trust and constitutes an unincorporated charity.",,,
803686,2025,"The charity is a non-profit seeking charitable organization whose objects are: (a) the relief of poverty; (b) the advancement of the Christian religion; (c) the advancement of education; and (d) the improvement of health and for horticultural and agricultural development, for the benefit of needy persons, regardless of faith, caste or creed in the continent of Africa.

The main activities undertaken by the charity during the period was to send goods and support projects through small grants which make a difference to the lives of people of Africa by meeting educational, development or other basic needs.","The charity's achievements during the period included:

Distribution of goods
Successfully loading and dispatching containers of goods to each of:
Malawi x 2
Cameroon
Zambia
Zimbabwe

Small grants and sponsorships
Small grant projects and sponsorships successfully delivered during the accounting period included:
* Alpha Women Empowerment Initiative for vegetable planting for 98 women & their dependents in Uganda (£4,738);
* Basra Charity Organization for tree planting for 350 households across 12 villages in Uganda (£5,150);
° Christian Compassion Committee Luchenza for a goat exchange scheme for 5 villages in Malawi (£1,030);
* Christian Tract Distributor for a Christmas party and presents for 85 orphaned children in Zambia (£673);
* CINDY for agricultural training & chicken rearing for 5 orphaned women in Zambia (£3,090);
* Ghana Outlook in Ghana
1) fora borehole at an orthopaedic training center for 58 students treating 600 patients per year (£1,318);
2) for a borehole for a village for 159 households (£1,772);","When considering applications for grants, the grants sub-committee considers applications that fit within the charity's main areas of interest. These are:

supporting people experiencing poverty and disadvantage;
educational, vocational, health care and horticultural schemes;
sustainable entrepreneurial activities that benefit a community;
the provision of safe drinking water.",
253660,2024,,,,
515341,2024,"The objects of the Trust are wide, as defined in the Trust Deed and are ""to apply the capital and income in perpetuity to or for such charitable institution or institutions or to or for charitable purposes (being purposes which are exclusively charitable according to the law of england and wales) as the trustees shall in their absolute discretion think fit.""","During the year the Trust gave grants to 91 organizations totalling £145,707 (2023: £148,810 and 97 organisations) to charities and other charitable organizations operating in Greater Manchester.",,
291363,2024,"The Trustees hold the trust fund and the income thereof for the benefit of such charitable institutions as the Trustees shall from time to time in their absolute discretion determine.

There are no plans to change the objectives of the charity in the future and they continue to support bodies for the benefit of the public.

The Trustees have considered the Charity Commission's guidance on public benefit when reviewing organizational strategy and planning future activities and are satisfied that the charity continues to have significant charitable purpose and delivers tangible public benefit.

The trust's geographical areas of benefit are:

- organizations serving Birmingham and the West Midlands
- organizations outside the West Midlands where the trust has well-established links
- organizations in Ireland
- UP based charities working overseas

The general areas of benefit are:

- the Religious Society of Friends (Quakers) and other religious denominations
- healthcare projects
- social welfare; community groups; children and young people; the elderly; the disadvantaged and disabled; the homeless; housing initiatives; counseling and mediation agencies
- education; adult literacy schemes; employment training; youth work
- penal affairs; work with offenders and ex-offenders; police projects
- the environment and conservation work
- the arts; museums and art galleries; music and drama
- Ireland; cross-community health and social welfare projects
- UP charities working overseas on long term development projects

Approximately 60% of grants are for the work and concerns of the Religious Society of Friends. The trust favors specific applications. It does not usually award grants on an annual basis for revenue costs. Applications are encouraged from minority groups and women-led initiatives.",The trustees are satisfied with the achievement of the charity in the year and the returns realized on the investments.,,
200691,2024,"The Charity is a grant-making body and seeks to attain its charitable objects solely by making payments to active charities and not through direct action. The focus of giving is to save life, improve life and sustain spiritual life, all at a local, national and international level.","As was anticipated in last year's report, the charity did not receive any income from Littlestone Properties during 2023/24, but was once again in receipt of income from the estate of the late Bernard Stanley. This has enabled the charity to maintain its giving, albeit at a lower level than in 2022/23. Because future income from Littlestone Properties may also remain low or at zero for another year or two the trustees decided to spend at a moderate level in 2023/24 in order to have funds left for future years and maintain a steady flow of funds for its regular beneficiaries. Thus just over £50,000 has been spent supporting 25 organisations.",,
283423,2024,By such means as are recognized by English law as charitable to advance education in and the religion of the Orthodox Jewish Faith.,The trustees are extremely pleased with the results for the year. There was a substantial decrease in donations although overall expenditure showed a slight increase. The charity was left with a deficit for the year.,,
